Chr.c	Chr_start	Chr_end	GeneIDb	Tissue	Mean valuedParkinson	Mean valuedcontrol	Differencee(©´)	p valueg	PMID	
6	-	-	HLA-DQA1	PBLs	-	-	0.25	0.01	23907097	
6	-	-	HLA-DQA1	PBLs	-	-	0.47	0.01	23907097	
6	-	-	HLA-DQB18	PBLs	-	-	0.2	0.01	23907097	
6	-	-	HLA-DRB1	PBLs	-	-	0.39	0.01	23907097	
6	-	-	HLA-DRB1	PBLs	-	-	0.23	0.01	23907097	
6	-	-	HLA-DRB1	PBLs	-	-	0.25	0.01	23907097	
6	-	-	HLA-DRB5	PBLs	-	-	0.35	0.01	23907097	
6	-	-	HLA-DRB5	PBLs	-	-	0.27	0.01	23907097	
6	-	-	HLA-DRB5	PBLs	-	-	0.21	0.01	23907097	
6	-	-	HLA-DRB5	PBLs	-	-	0.22	0.01	23907097	
6	-	-	HLA-DRB5	PBLs	-	-	0.23	0.01	23907097	
6	-	-	HLA-DRB6	PBLs	-	-	0.23	0.01	23907097	
6	-	-	HLA-DRB6	PBLs	-	-	0.38	0.01	23907097	
6	-	-	HLA-DRB6	PBLs	-	-	0.23	0.01	23907097	
6	-	-	HLA-DRB6	PBLs	-	-	0.28	0.01	23907097	
16	-	-	HYDIN	PBLs	-	-	0.23	0.01	23907097	
11	-	-	IGSF9B	PBLs	-	-	0.25	0.01	23907097	
3	-	-	ITPR1	PBLs	-	-	0.2	0.01	23907097	
16	-	-	KCTD5	PBLs	-	-	0.47	0.01	23907097	
19	-	-	KLK9	PBLs	-	-	0.23	0.01	23907097	
15	-	-	LASS3	PBLs	-	-	0.24	0.01	23907097	
15	-	-	LASS3	PBLs	-	-	0.25	0.01	23907097	
11	-	-	LOC283267	PBLs	-	-	0.36	0.01	23907097	
13	-	-	LRCH1	PBLs	-	-	0.22	0.01	23907097	
15	-	-	LRRK1	PBLs	-	-	0.32	0.01	23907097	
7	-	-	MAD1L1	PBLs	-	-	0.21	0.01	23907097	
11	-	-	MAML2	PBLs	-	-	0.24	0.01	23907097	
17	-	-	MAPT	PBLs	-	-	0.28	0.01	23907097	
17	-	-	MAPT	PBLs	-	-	0.31	0.01	23907097	
14	-	-	MARK3	PBLs	-	-	0.27	0.01	23907097	
6	-	-	MLLT4	PBLs	-	-	0.24	0.01	23907097	
1	-	-	MMEL1	PBLs	-	-	0.33	0.01	23907097	
6	-	-	MOG	PBLs	-	-	0.34	0.01	23907097	
4	-	-	MORF4	PBLs	-	-	0.26	0.01	23907097	
19	-	-	MRI1	PBLs	-	-	0.28	0.01	23907097	
11	-	-	MRPL21	PBLs	-	-	0.22	0.01	23907097	
17	-	-	MYADML2	PBLs	-	-	0.28	0.01	23907097	
1	-	-	NBPF4	PBLs	-	-	0.21	0.01	23907097	
11	-	-	OPCML	PBLs	-	-	0.24	0.01	23907097	
1	-	-	OPRD1	PBLs	-	-	0.28	0.01	23907097	
6	-	-	OR12D3	PBLs	-	-	0.21	0.01	23907097	
1	-	-	OSBPL9	PBLs	-	-	0.22	0.01	23907097	
12	-	-	PDZRN4	PBLs	-	-	0.22	0.01	23907097	
3	-	-	PLD1	PBLs	-	-	0.26	0.01	23907097	
1	-	-	PMF1	PBLs	-	-	0.21	0.01	23907097	
13	-	-	PRHOXNB	PBLs	-	-	0.3	0.01	23907097	
17	-	-	PRKCA	PBLs	-	-	0.24	0.01	23907097	
16	-	-	PRM1	PBLs	-	-	0.25	0.01	23907097	
10	-	-	PTPN20B	PBLs	-	-	0.22	0.01	23907097	
8	-	-	PVT1	PBLs	-	-	0.29	0.01	23907097	
13	-	-	RASA3	PBLs	-	-	0.25	0.01	23907097	
6	-	-	RNF39	PBLs	-	-	0.23	0.01	23907097	
17	-	-	RPH3AL	PBLs	-	-	0.2	0.01	23907097	
1	-	-	S100A14	PBLs	-	-	0.21	0.01	23907097	
7	-	-	SDK1	PBLs	-	-	0.21	0.01	23907097	
14	-	-	SERPINA9	PBLs	-	-	0.2	0.01	23907097	
20	-	-	SLC12A5	PBLs	-	-	0.32	0.01	23907097	
5	-	-	SLC6A3	PBLs	-	-	0.22	0.01	23907097	
22	-	-	SMC1B	PBLs	-	-	0.29	0.01	23907097	
2	-	-	STK25	PBLs	-	-	0.2	0.01	23907097	
4	-	-	STK32B	PBLs	-	-	0.23	0.01	23907097	
1	-	-	TMEM9	PBLs	-	-	0.25	0.01	23907097	
6	-	-	TNXB	PBLs	-	-	0.24	0.01	23907097	
6	-	-	TNXB	PBLs	-	-	0.22	0.01	23907097	
6	-	-	TNXB	PBLs	-	-	0.22	0.01	23907097	
20	-	-	TOX2	PBLs	-	-	0.27	0.01	23907097	
7	-	-	TPK1	PBLs	-	-	0.26	0.01	23907097	
6	-	-	TRIM10	PBLs	-	-	0.4	0.01	23907097	
6	-	-	TRIM31	PBLs	-	-	0.22	0.01	23907097	
4	-	-	TRIML2	PBLs	-	-	0.23	0.01	23907097	
16	-	-	USP7	PBLs	-	-	0.23	0.01	23907097	
6	-	-	UST	PBLs	-	-	0.27	0.01	23907097	
9	-	-	VAV2	PBLs	-	-	0.43	0.01	23907097	
14	-	-	VSX2	PBLs	-	-	0.26	0.01	23907097	
11	-	-	YAP1	PBLs	-	-	0.25	0.01	23907097	
7	-	-	ZNF783	PBLs	-	-	0.23	0.01	23907097	
3	45505334	45505334	LARS2	blood	-	-	-0.3	8.34E-11	28851441	
12	123431865	123431865	ABCB9	blood	-	-	-0.28	4.33E-10	28851441	
1	9716019	9716019	C1orf200	blood	-	-	-0.28	7.47E-10	28851441	
1	211779938	211779938	-	blood	-	-	-0.28	1.23E-09	28851441	
2	65861662	65861662	-	blood	-	-	0.28	1.25E-09	28851441	
19	16392219	16392219	-	blood	-	-	-0.28	1.4E-09	28851441	
3	194826585	194826585	C3orf21	blood	-	-	-0.27	2.64E-09	28851441	
1	25291905	25291905	RUNX3	blood	-	-	0.27	3.59E-09	28851441	
18	21452844	21452844	LAMA3	blood	-	-	0.27	3.64E-09	28851441	
1	167487295	167487295	CD247	blood	-	-	0.27	4.69E-09	28851441	
19	827776	827776	AZU1	blood	-	-	-0.27	4.96E-09	28851441	
1	226036279	226036279	TMEM63A	blood	-	-	0.27	5.21E-09	28851441	
12	54806218	54806218	ITGA5	blood	-	-	-0.26	6.99E-09	28851441	
19	827843	827843	AZU1	blood	-	-	-0.26	7.37E-09	28851441	
17	80084751	80084751	CCDC57	blood	-	-	0.26	8.11E-09	28851441	
1	16483658	16483658	EPHA2	blood	-	-	-0.26	8.17E-09	28851441	
18	74257894	74257894	LOC284276	blood	-	-	-0.26	8.95E-09	28851441	
4	10101553	10101553	WDR1	blood	-	-	0.26	1.38E-08	28851441	
20	56247302	56247302	PMEPA1	blood	-	-	-0.26	1.4E-08	28851441	
11	121349740	121349740	SORL1	blood	-	-	-0.26	1.46E-08	28851441	
19	35630388	35630388	FXYD1	blood	-	-	-0.26	1.53E-08	28851441	
2	70368457	70368457	-	blood	-	-	-0.26	1.66E-08	28851441	
11	63274030	63274030	LGALS12	blood	-	-	-0.26	1.79E-08	28851441	
2	88357920	88357920	-	blood	-	-	0.26	1.81E-08	28851441	
8	67841925	67841925	-	blood	-	-	-0.26	2.2E-08	28851441	
17	38504102	38504102	RARA	blood	-	-	-0.26	2.27E-08	28851441	
19	2529022	2529022	GNG7	blood	-	-	-0.26	2.32E-08	28851441	
4	48136234	48136234	TXK	blood	-	-	0.26	2.44E-08	28851441	
17	38171530	38171530	CSF3	blood	-	-	-0.25	2.79E-08	28851441	
13	99668433	99668433	DOCK9	blood	-	-	0.25	2.96E-08	28851441	
1	203156625	203156625	CHI3L1	blood	-	-	-0.25	3.05E-08	28851441	
15	101777761	101777761	CHSY1	blood	-	-	-0.25	3.31E-08	28851441	
X	153770418	153770418	IKBKG	blood	-	-	-0.25	3.35E-08	28851441	
10	126329354	126329354	FAM53B	blood	-	-	-0.25	3.37E-08	28851441	
7	4752983	4752983	FOXK1	blood	-	-	-0.25	3.5E-08	28851441	
10	103574626	103574626	MGEA5	blood	-	-	0.25	3.55E-08	28851441	
3	184050393	184050393	EIF4G1	blood	-	-	-0.25	3.83E-08	28851441	
17	77753199	77753199	CBX2	blood	-	-	-0.25	3.89E-08	28851441	
14	93539613	93539613	ITPK1	blood	-	-	-0.25	3.97E-08	28851441	
4	48136452	48136452	TXK	blood	-	-	0.25	4.02E-08	28851441	
19	19305340	19305340	RFXANK	blood	-	-	-0.25	4.1E-08	28851441	
11	10476976	10476976	AMPD3	blood	-	-	-0.25	4.15E-08	28851441	
7	75582881	75582881	POR	blood	-	-	-0.25	4.16E-08	28851441	
11	72868833	72868833	-	blood	-	-	-0.25	4.42E-08	28851441	
16	85558148	85558148	-	blood	-	-	-0.25	4.49E-08	28851441	
15	90543224	90543224	-	blood	-	-	-0.25	4.68E-08	28851441	
2	68592345	68592345	PLEK	blood	-	-	-0.25	4.86E-08	28851441	
17	25659609	25659609	-	blood	-	-	-0.25	4.9E-08	28851441	
2	68592349	68592349	PLEK	blood	-	-	-0.25	4.93E-08	28851441	
9	139459307	139459307	-	blood	-	-	-0.25	5.07E-08	28851441	
13	50696070	50696070	DLEU2	blood	-	-	-0.25	5.09E-08	28851441	
12	109538736	109538736	UNG	blood	-	-	-0.25	5.17E-08	28851441	
13	111318490	111318490	CARS2	blood	-	-	-0.25	5.34E-08	28851441	
14	55569959	55569959	-	blood	-	-	-0.25	5.36E-08	28851441	
1	23590501	23590501	-	blood	-	-	-0.25	5.38E-08	28851441	
4	41983716	41983716	DCAF4L1	blood	-	-	-0.25	5.54E-08	28851441	
14	61801201	61801201	PRKCH	blood	-	-	0.25	5.92E-08	28851441	
12	9822287	9822287	CLEC2D	blood	-	-	0.25	5.93E-08	28851441	
5	141346431	141346431	RNF14	blood	-	-	-0.25	5.99E-08	28851441	
15	64442561	64442561	SNX22	blood	-	-	-0.25	6.84E-08	28851441	
1	9819767	9819767	CLSTN1	blood	-	-	-0.25	7.17E-08	28851441	
5	180116385	180116385	-	blood	-	-	0.25	7.2E-08	28851441	
12	56329615	56329615	DGKA	blood	-	-	0.25	7.38E-08	28851441	
1	193075249	193075249	GLRX2	blood	-	-	-0.25	7.41E-08	28851441	
15	64442578	64442578	SNX22	blood	-	-	-0.25	7.46E-08	28851441	
11	1785701	1785701	CTSD	blood	-	-	-0.25	7.47E-08	28851441	
1	11722935	11722935	FBXO6	blood	-	-	-0.25	7.51E-08	28851441	
11	47471400	47471400	RAPSN	blood	-	-	-0.25	7.96E-08	28851441	
11	119177430	119177430	CBL	blood	-	-	0.25	8.2E-08	28851441	
4	56718320	56718320	EXOC1	blood	-	-	0.25	8.54E-08	28851441	
7	50774217	50774217	GRB10	blood	-	-	-0.25	8.62E-08	28851441	
6	35771838	35771838	LHFPL5	blood	-	-	-0.25	8.66E-08	28851441	
10	31182298	31182298	ZNF438	blood	-	-	-0.25	8.76E-08	28851441	
17	33568791	33568791	SLFN5	blood	-	-	0.24	8.89E-08	28851441	
19	36399346	36399346	TYROBP	blood	-	-	-0.24	9.02E-08	28851441	
1	92953279	92953279	GFI1	blood	-	-	-0.24	9.27E-08	28851441	
2	47404636	47404636	CALM2	blood	-	-	-0.24	9.33E-08	28851441	
1	54693933	54693933	SSBP3	blood	-	-	-0.24	9.47E-08	28851441	
3	194696866	194696866	-	blood	-	-	-0.24	9.62E-08	28851441	
17	33775961	33775961	SLFN13	blood	-	-	-0.24	9.72E-08	28851441	
1	567312	567312	MIR1977	blood	-	-	-0.24	9.74E-08	28851441	
9	15371248	15371248	-	blood	-	-	-0.24	9.95E-08	28851441	
2	27616316	27616316	FTHL3	saliva	-	-	-0.35	1.05E-08	28851441	
21	44869762	44869762	C21orf125	saliva	-	-	-0.33	3.45E-08	28851441	
6	33973531	33973531	-	saliva	-	-	-0.33	6.92E-08	28851441	
11	61734830	61734830	FTH1	saliva	-	-	-0.33	7.15E-08	28851441	
1	203146346	203146346	MYBPH	saliva	-	-	-0.32	9.1E-08	28851441	
	1562568	1562617	FOXC1	cerebral cortex tissue	-	-	-0.51	-	27692691	
	22966265	22966265	SSTR4	cerebral cortex tissue	-	-	-0.47	-	27692691	
	102750863	102751004	TCEAL3	cerebral cortex tissue	-	-	-0.42	-	27692691	
	20294409	20294425	INSM1	cerebral cortex tissue	-	-	-0.4	-	27692691	
	67494977	67494989	KIF23	cerebral cortex tissue	-	-	-0.39	-	27692691	
	32061086	32061086	APRIN	cerebral cortex tissue	-	-	-0.39	-	27692691	
	203447859	203447883	RIPK5	cerebral cortex tissue	-	-	-0.39	-	27692691	
	33315853	33315995	OLIG2	cerebral cortex tissue	-	-	-0.36	-	27692691	
	76861085	76861085	PAK1	cerebral cortex tissue	-	-	-0.36	-	27692691	
	81954504	81954527	ANXA11	cerebral cortex tissue	-	-	-0.33	-	27692691	
	149092391	149092434	PPARGC1B	cerebral cortex tissue	-	-	-0.32	-	27692691	
	176171570	176171570	UNC5A	cerebral cortex tissue	-	-	-0.32	-	27692691	
	26341073	26341079	HIST1H4F	cerebral cortex tissue	-	-	-0.31	-	27692691	
	303754	303754	IFITM1	cerebral cortex tissue	-	-	-0.31	-	27692691	
	56332879	56332879	OTX2	cerebral cortex tissue	-	-	-0.31	-	27692691	
	51681178	51681312	TEX264	cerebral cortex tissue	-	-	-0.3	-	27692691	
	124543257	124543259	PKNOX2	cerebral cortex tissue	-	-	-0.29	-	27692691	
	69662244	69662262	ATOH7	cerebral cortex tissue	-	-	-0.29	-	27692691	
	160467855	160467855	LY75	cerebral cortex tissue	-	-	-0.28	-	27692691	
	119714137	119714150	ARHGEF12	cerebral cortex tissue	-	-	-0.28	-	27692691	
	124541332	124541332	SPRY1	cerebral cortex tissue	-	-	-0.28	-	27692691	
	43964758	43965013	PDXK	cerebral cortex tissue	-	-	-0.27	-	27692691	
	116285841	116285841	NOS1	cerebral cortex tissue	-	-	-0.27	-	27692691	
	97750451	97750476	BRI3	cerebral cortex tissue	-	-	-0.27	-	27692691	
	119286711	119286711	EMX2	cerebral cortex tissue	-	-	-0.27	-	27692691	
	9436578	9436588	C20orf103	cerebral cortex tissue	-	-	-0.27	-	27692691	
	46324870	46324870	DGKZ	cerebral cortex tissue	-	-	-0.26	-	27692691	
	38879341	38879351	PLEKHA2	cerebral cortex tissue	-	-	-0.26	-	27692691	
	89218232	89218232	FURIN	cerebral cortex tissue	-	-	-0.26	-	27692691	
	38766036	38766036	TACC1	cerebral cortex tissue	-	-	-0.25	-	27692691	
	49920154	49920325	DAZAP2	cerebral cortex tissue	-	-	-0.24	-	27692691	
	171283339	171283339	SP5	cerebral cortex tissue	-	-	-0.24	-	27692691	
	81563866	81563866	ZBTB10	cerebral cortex tissue	-	-	-0.23	-	27692691	
	73516684	73516702	SPOCK2	cerebral cortex tissue	-	-	-0.23	-	27692691	
	19176194	19176194	PLEKHA5	cerebral cortex tissue	-	-	-0.23	-	27692691	
	113649369	113649549	NEUROG2	cerebral cortex tissue	-	-	-0.22	-	27692691	
	51899392	51899392	RARG	cerebral cortex tissue	-	-	-0.22	-	27692691	
	86196663	86196682	JPH3	cerebral cortex tissue	-	-	-0.22	-	27692691	
	104453872	104453875	CTHRC1	cerebral cortex tissue	-	-	-0.22	-	27692691	
	54424603	54424619	GDF11	cerebral cortex tissue	-	-	-0.21	-	27692691	
	183290582	183290582	DNAJC10	cerebral cortex tissue	-	-	-0.21	-	27692691	
	166520613	166520613	CPE	cerebral cortex tissue	-	-	-0.21	-	27692691	
	3814562	3814562	LRRN1	cerebral cortex tissue	-	-	-0.21	-	27692691	
	7899384	7899387	CTXN1	cerebral cortex tissue	-	-	-0.21	-	27692691	
	67838082	67838082	LRP5	cerebral cortex tissue	-	-	-0.2	-	27692691	
	103523508	103523520	NPM3	cerebral cortex tissue	-	-	-0.2	-	27692691	
	46324870	46324920	DGKZ	cerebral cortex tissue	-	-	-0.2	-	27692691	
	1285145	1285145	TOLLIP	cerebral cortex tissue	-	-	-0.2	-	27692691	
	61617468	61617468	CCDC46	cerebral cortex tissue	-	-	-0.2	-	27692691	
	10604763	10604763	PTPRD	cerebral cortex tissue	-	-	-0.2	-	27692691	
	125812308	125812357	LHX2	cerebral cortex tissue	-	-	-0.2	-	27692691	
	7990565	7990575	AFAP1	cerebral cortex tissue	-	-	-0.2	-	27692691	
	2985059	2985078	PRDM16	cerebral cortex tissue	-	-	-0.2	-	27692691	
	196643415	196643415	CENTB2	cerebral cortex tissue	-	-	-0.19	-	27692691	
	2785867	2785867	SERPINB1	cerebral cortex tissue	-	-	-0.19	-	27692691	
	53366557	53366557	LIG1	cerebral cortex tissue	-	-	-0.19	-	27692691	
	61728301	61728327	PRKCA	cerebral cortex tissue	-	-	-0.19	-	27692691	
	135690685	135690685	ARHGEF6	cerebral cortex tissue	-	-	-0.19	-	27692691	
	154219930	154219930	C5orf4	cerebral cortex tissue	-	-	-0.19	-	27692691	
	30760885	30760885	KIAA1949	cerebral cortex tissue	-	-	-0.19	-	27692691	
	72301085	72301093	ZNF516	cerebral cortex tissue	-	-	-0.18	-	27692691	
	40718704	40718715	PTGER4	cerebral cortex tissue	-	-	-0.18	-	27692691	
	26299623	26299623	BNIP3L	cerebral cortex tissue	-	-	-0.18	-	27692691	
	176448903	176448903	FGFR4	cerebral cortex tissue	-	-	-0.18	-	27692691	
	4916645	4916656	MSX1	cerebral cortex tissue	-	-	-0.18	-	27692691	
	40325801	40325856	FLJ20273	cerebral cortex tissue	-	-	-0.17	-	27692691	
	177316523	177316533	TOR3A	cerebral cortex tissue	-	-	-0.17	-	27692691	
	119908793	119908793	TMEM37	cerebral cortex tissue	-	-	-0.17	-	27692691	
	87125910	87125926	SLITRK5	cerebral cortex tissue	-	-	-0.17	-	27692691	
	31391795	31391795	RYR3	cerebral cortex tissue	-	-	-0.17	-	27692691	
	178395067	178395234	TBL1XR1	cerebral cortex tissue	-	-	-0.17	-	27692691	
	43153629	43153629	PTK7	cerebral cortex tissue	-	-	-0.17	-	27692691	
	82517333	82517463	FAM46A	cerebral cortex tissue	-	-	-0.17	-	27692691	
	58171672	58171698	DACT1	cerebral cortex tissue	-	-	-0.17	-	27692691	
	75969519	75969519	COL12A1	cerebral cortex tissue	-	-	-0.17	-	27692691	
	160599760	160599766	SLC22A2	cerebral cortex tissue	-	-	-0.17	-	27692691	
	114703695	114703695	TCF7L2	cerebral cortex tissue	-	-	-0.16	-	27692691	
	138022017	138022017	TMEM22	cerebral cortex tissue	-	-	-0.16	-	27692691	
	144310393	144310449	LY6H	cerebral cortex tissue	-	-	-0.16	-	27692691	
	156887950	156887950	NR4A2	cerebral cortex tissue	-	-	-0.16	-	27692691	
	18492052	18492069	ELL	cerebral cortex tissue	-	-	-0.16	-	27692691	
	50658436	50658436	DMRTA2	cerebral cortex tissue	-	-	-0.16	-	27692691	
	31797002	31797014	PAX6	cerebral cortex tissue	-	-	-0.16	-	27692691	
	70438186	70438186	ITGB1BP2	cerebral cortex tissue	-	-	-0.16	-	27692691	
	115024839	115024839	FKBP15	cerebral cortex tissue	-	-	-0.16	-	27692691	
	202386812	202386823	ETNK2	cerebral cortex tissue	-	-	-0.16	-	27692691	
	145445602	145445602	CNTNAP2	cerebral cortex tissue	-	-	-0.16	-	27692691	
	57019842	57019857	TUBB1	cerebral cortex tissue	-	-	-0.16	-	27692691	
	183438808	183438949	FRZB	cerebral cortex tissue	-	-	-0.16	-	27692691	
	227367298	227367423	IRS1	cerebral cortex tissue	-	-	-0.16	-	27692691	
	108306946	108306946	VAV3	cerebral cortex tissue	-	-	-0.16	-	27692691	
	57931998	57931998	UNQ9438	cerebral cortex tissue	-	-	-0.15	-	27692691	
	27390763	27390763	PDX1	cerebral cortex tissue	-	-	-0.15	-	27692691	
	92299726	92299726	CDK6	cerebral cortex tissue	-	-	-0.15	-	27692691	
	22363958	22363958	RAPGEF5	cerebral cortex tissue	-	-	-0.15	-	27692691	
	923578	923627	AP2A2	cerebral cortex tissue	-	-	-0.15	-	27692691	
	72149376	72149495	TNPO1	cerebral cortex tissue	-	-	-0.15	-	27692691	
	28460673	28460686	SESN2	cerebral cortex tissue	-	-	-0.15	-	27692691	
	2727475	2727475	CPXM	cerebral cortex tissue	-	-	-0.15	-	27692691	
	204876546	204876546	DYRK3	cerebral cortex tissue	-	-	-0.15	-	27692691	
	70563013	70563019	LMBRD1	cerebral cortex tissue	-	-	-0.15	-	27692691	
	72950183	72950183	SCAMP2	cerebral cortex tissue	-	-	-0.15	-	27692691	
	61965601	61965697	TPD52L2	cerebral cortex tissue	-	-	-0.15	-	27692691	
	68674965	68675309	SSTR2	cerebral cortex tissue	-	-	-0.15	-	27692691	
	36439716	36439716	CRIM1	cerebral cortex tissue	-	-	-0.15	-	27692691	
	75302791	75303182	CAMK2G	cerebral cortex tissue	-	-	-0.14	-	27692691	
	27732369	27732445	EOMES	cerebral cortex tissue	-	-	-0.14	-	27692691	
	52706999	52706999	NAPA	cerebral cortex tissue	-	-	-0.14	-	27692691	
	63798018	63798018	SLC16A6	cerebral cortex tissue	-	-	-0.14	-	27692691	
	60439944	60439944	TMEM132A	cerebral cortex tissue	-	-	-0.14	-	27692691	
	31119867	31119867	PYCARD	cerebral cortex tissue	-	-	-0.14	-	27692691	
	19422757	19422863	OSR1	cerebral cortex tissue	-	-	-0.14	-	27692691	
	136361312	136361314	RXRA	cerebral cortex tissue	-	-	-0.14	-	27692691	
	71909313	71909332	KIAA1274	cerebral cortex tissue	-	-	-0.14	-	27692691	
	92294470	92294487	NUDT4	cerebral cortex tissue	-	-	-0.14	-	27692691	
	16528470	16528584	RAFTLIN	cerebral cortex tissue	-	-	-0.14	-	27692691	
	110553714	110553714	KCNC4	cerebral cortex tissue	-	-	-0.14	-	27692691	
	166360365	166360365	GALNT3	cerebral cortex tissue	-	-	-0.14	-	27692691	
	31894606	31894620	HSPA1L	cerebral cortex tissue	-	-	-0.14	-	27692691	
	163593078	163593078	LMX1A	cerebral cortex tissue	-	-	-0.13	-	27692691	
	110320325	110320325	NPHP1	cerebral cortex tissue	-	-	-0.13	-	27692691	
	212220707	212220707	PROX1	cerebral cortex tissue	-	-	-0.13	-	27692691	
	153557012	153557100	RUSC1	cerebral cortex tissue	-	-	-0.13	-	27692691	
	31343108	31343179	NEUROD6	cerebral cortex tissue	-	-	-0.13	-	27692691	
	9637324	9637346	PIK3CD	cerebral cortex tissue	-	-	-0.13	-	27692691	
	34964208	34964231	LOC145845	cerebral cortex tissue	-	-	-0.13	-	27692691	
	125850802	125850864	ANKRD50	cerebral cortex tissue	-	-	-0.13	-	27692691	
	27348179	27348179	NDNL2	cerebral cortex tissue	-	-	-0.13	-	27692691	
	12603280	12603280	DHRS3	cerebral cortex tissue	-	-	-0.13	-	27692691	
	8862125	8862451	ENO1	cerebral cortex tissue	-	-	-0.13	-	27692691	
	154934711	154934711	SFRP2	cerebral cortex tissue	-	-	-0.13	-	27692691	
	90946181	90946188	BARHL2	cerebral cortex tissue	-	-	-0.13	-	27692691	
	40661696	40661696	LRFN2	cerebral cortex tissue	-	-	-0.13	-	27692691	
	17715060	17715060	KCNC1	cerebral cortex tissue	-	-	-0.13	-	27692691	
	60071114	60071114	TAF4	cerebral cortex tissue	-	-	-0.13	-	27692691	
	15198215	15198232	ASB9	cerebral cortex tissue	-	-	-0.12	-	27692691	
	79403036	79403036	STARD5	cerebral cortex tissue	-	-	-0.12	-	27692691	
	851200	851298	TIMM22	cerebral cortex tissue	-	-	-0.12	-	27692691	
	37658945	37658945	THBS1	cerebral cortex tissue	-	-	-0.12	-	27692691	
	216007268	216007286	FN1	cerebral cortex tissue	-	-	-0.12	-	27692691	
	234295931	234295964	NID1	cerebral cortex tissue	-	-	-0.12	-	27692691	
	87453807	87453807	LOC390748	cerebral cortex tissue	-	-	-0.12	-	27692691	
	172685067	172685496	STC2	cerebral cortex tissue	-	-	-0.12	-	27692691	
	1807217	1807217	REXO1	cerebral cortex tissue	-	-	-0.12	-	27692691	
	30765125	30765125	MAP3K8	cerebral cortex tissue	-	-	-0.12	-	27692691	
	174678490	174678833	HAND2	cerebral cortex tissue	-	-	-0.12	-	27692691	
	1154699	1154699	STK11	cerebral cortex tissue	-	-	-0.12	-	27692691	
	29996984	29997350	KCNA4	cerebral cortex tissue	-	-	-0.12	-	27692691	
	126314848	126314848	NR5A1	cerebral cortex tissue	-	-	-0.12	-	27692691	
	70308910	70308910	PKM2	cerebral cortex tissue	-	-	-0.12	-	27692691	
	64870140	64870154	IRAK3	cerebral cortex tissue	-	-	-0.12	-	27692691	
	120550894	120550894	FLJ14466	cerebral cortex tissue	-	-	-0.12	-	27692691	
	88508187	88508187	BMPR1A	cerebral cortex tissue	-	-	-0.12	-	27692691	
	41289624	41289624	SFRP1	cerebral cortex tissue	-	-	-0.12	-	27692691	
	73954953	73954994	GDA	cerebral cortex tissue	-	-	-0.12	-	27692691	
	31026632	31026632	MYST1	cerebral cortex tissue	-	-	-0.12	-	27692691	
	62168009	62168009	TCEA2	cerebral cortex tissue	-	-	-0.12	-	27692691	
	30363471	30363809	RBPMS	cerebral cortex tissue	-	-	-0.11	-	27692691	
	43077444	43077444	LOC389289	cerebral cortex tissue	-	-	-0.11	-	27692691	
	216587709	216587742	TGFB2	cerebral cortex tissue	-	-	-0.11	-	27692691	
	961101	961101	ABR	cerebral cortex tissue	-	-	-0.11	-	27692691	
	126518435	126518489	TRIB1	cerebral cortex tissue	-	-	-0.11	-	27692691	
	71437669	71437669	CALN1	cerebral cortex tissue	-	-	-0.11	-	27692691	
	1094193	1094554	GPR30	cerebral cortex tissue	-	-	-0.11	-	27692691	
	90446932	90446985	GRIN3	cerebral cortex tissue	-	-	-0.11	-	27692691	
	122974618	122974692	PKIB	cerebral cortex tissue	-	-	-0.11	-	27692691	
	94983829	94984036	GPR150	cerebral cortex tissue	-	-	-0.11	-	27692691	
	103541610	103541610	PDGFD	cerebral cortex tissue	-	-	-0.11	-	27692691	
	91395779	91395779	PANK1	cerebral cortex tissue	-	-	-0.11	-	27692691	
	3834087	3834091	STIM1	cerebral cortex tissue	-	-	-0.11	-	27692691	
	86686130	86686325	C7orf23	cerebral cortex tissue	-	-	-0.11	-	27692691	
	99651138	99651138	FOXE1	cerebral cortex tissue	-	-	-0.11	-	27692691	
	21706842	21706842	SOX4	cerebral cortex tissue	-	-	-0.11	-	27692691	
	127131761	127132180	GYPC	cerebral cortex tissue	-	-	-0.11	-	27692691	
	53820273	53820273	PRTG	cerebral cortex tissue	-	-	-0.11	-	27692691	
	6488903	6488903	KDELR2	cerebral cortex tissue	-	-	-0.11	-	27692691	
	85973290	85973399	MAP1LC3B	cerebral cortex tissue	-	-	-0.11	-	27692691	
	116164900	116164900	APOA5	cerebral cortex tissue	-	-	-0.11	-	27692691	
	78091981	78092004	44085	cerebral cortex tissue	-	-	-0.1	-	27692691	
	62275622	62275628	B3GNT2	cerebral cortex tissue	-	-	-0.1	-	27692691	
	135542966	135542966	MYB	cerebral cortex tissue	-	-	-0.1	-	27692691	
	61565279	61565412	KCNQ2	cerebral cortex tissue	-	-	-0.1	-	27692691	
	22291862	22291872	CDR2	cerebral cortex tissue	-	-	-0.1	-	27692691	
	89872701	89872701	LRRC8C	cerebral cortex tissue	-	-	-0.1	-	27692691	
	79079089	79079166	MESDC1	cerebral cortex tissue	-	-	-0.1	-	27692691	
	180650208	180650461	GNB4	cerebral cortex tissue	-	-	-0.1	-	27692691	
	30815369	30815473	DNMT3B	cerebral cortex tissue	-	-	-0.1	-	27692691	
	112854572	112854572	PROZ	cerebral cortex tissue	-	-	-0.1	-	27692691	
	121741599	121741599	LOC389549	cerebral cortex tissue	-	-	-0.1	-	27692691	
	22912008	22912008	EPHB2	cerebral cortex tissue	-	-	-0.1	-	27692691	
